Correct ratio,Noise_level,Reaction Time (s),Correct,Correct Note Number,Interference Note Number
0.8,0.03,0.494958298544356,True,3,1
0.8,0.03,1.1465934332645324,True,3,4
0.8,0.03,1.195625544,True,2,6
0.8,0.03,1.2435657496063108,True,2,1
0.8,0.03,1.2903578053562,True,5,1
0.8,0.03,1.301417351,True,6,1
0.8,0.03,1.331014127820778,False,3,4
0.8,0.03,1.3799437372921457,False,2,1
0.8,0.03,1.3949395473553,True,6,2
0.8,0.03,1.44828485945,True,5,6
0.8,0.03,1.4757082669007702,True,6,7
0.8,0.03,1.53363061,True,2,5
0.8,0.03,1.6689529418945312,True,3,6
0.8,0.03,1.726875066757202,True,3,6
0.8,0.03,1.748329547294,True,4,5
0.8,0.03,1.787186060527005,True,5,7
0.8,0.03,1.8261594772338867,True,5,1
0.8,0.03,1.8439378137969304,True,3,5
0.8,0.03,1.940707613259517,True,5,3
0.8,0.03,1.9634265587958053,True,6,2
0.8,0.03,1.9655460623263228,True,4,5
0.8,0.03,2.057879447937012,True,6,2
0.8,0.03,2.06688928604126,True,6,3
0.8,0.03,2.146538258,True,6,1
0.8,0.03,2.173028231,True,2,6
0.8,0.03,2.192762593395796,True,3,1
0.8,0.03,2.33495902,True,2,5
0.8,0.03,2.352826833724976,True,3,6
0.8,0.03,2.4749503135681152,True,6,1
0.8,0.03,2.4951075366392006,True,6,1
0.8,0.03,2.604600941309379,True,4,3
0.8,0.03,2.6066734790802,True,5,2
0.8,0.03,2.6251237392425537,True,6,3
0.8,0.03,2.67753278594445,True,5,2
0.8,0.03,2.7817814350128174,True,2,6
0.8,0.03,2.886214962415224,True,4,3
0.8,0.03,3.321000344412356,True,4,3
0.8,0.03,3.326254966219904,True,3,4
0.8,0.03,3.639256379558714,True,2,7
0.8,0.03,3.7099905014038086,False,4,1
0.8,0.03,3.829084012591028,True,6,1
0.8,0.03,3.885576725006104,True,6,3
0.8,0.03,3.887975331035637,True,6,1
0.8,0.03,4.325967809950448,True,6,7
0.8,0.03,4.419207604944023,True,5,2
0.8,0.03,4.44769368929237,True,6,3
0.8,0.03,4.621136140341994,True,5,1
0.8,0.03,4.667011067325536,True,4,5
0.8,0.03,4.725206005330026,True,2,4
0.8,0.03,4.746676683425903,True,6,2
0.8,0.03,4.762722063626963,True,3,4
0.8,0.03,4.836012712087832,True,2,4
0.8,0.03,4.872126421176832,True,3,6
0.8,0.03,4.8810790872319885,True,5,1
0.8,0.03,5.087149759144506,True,3,7
0.8,0.03,5.110996755911655,True,3,1
0.8,0.03,5.124449053554512,True,5,6
0.8,0.03,5.17745298209294,True,3,7
0.8,0.03,5.243808505205,True,4,1
0.8,0.03,5.30040645715866,True,6,7
0.8,0.03,5.400648850551367,True,5,7
0.8,0.03,5.489140748977661,False,4,7
0.8,0.03,5.562399387359619,False,5,2
0.8,0.03,5.6925842637099,True,4,1
0.8,0.03,5.9927580828285,True,4,7
0.8,0.03,6.3532368674132496,True,6,7
0.8,0.03,6.358126325027564,True,5,6
0.8,0.03,8.379257421123583,True,3,7
0.8,0.03,9.38562954858,True,3,4
0.8,0.03,12.622438531027392,True,5,2
0.5,0.1,0.935374835359,True,2,1
0.5,0.1,1.0087359439857,True,5,6
0.5,0.1,1.0239481049617112,True,3,2
0.5,0.1,1.077640057,True,2,5
0.5,0.1,1.2395793589723,True,4,3
0.5,0.1,1.3247585723904,True,2,1
0.5,0.1,1.329473229905,True,3,6
0.5,0.1,1.43075908543805,True,2,4
0.5,0.1,1.460143089,True,3,7
0.5,0.1,1.58743927957375,True,5,6
0.5,0.1,1.6854976287754402,True,6,3
0.5,0.1,1.722975731,True,5,1
0.5,0.1,1.73597890717957,True,6,7
0.5,0.1,1.744283915,True,6,2
0.5,0.1,1.833802938,True,5,1
0.5,0.1,1.882367574532948,True,6,1
0.5,0.1,2.132898569107056,True,6,3
0.5,0.1,2.3472025870235,True,2,3
0.5,0.1,2.3850228786468506,True,6,3
0.5,0.1,2.39482304092,True,3,7
0.5,0.1,2.413891082321431,True,6,2
0.5,0.1,2.4678227998495936,True,6,4
0.5,0.1,2.635423183441162,True,3,7
0.5,0.1,2.647510766983032,True,6,3
0.5,0.1,2.8467187881469727,True,6,1
0.5,0.1,2.89413923105995,False,4,3
0.5,0.1,2.931288719177246,True,5,2
0.5,0.1,2.936694429963039,True,5,4
0.5,0.1,2.9513016612471,True,2,5
0.5,0.1,2.95913296543291,True,3,2
0.5,0.1,2.965266052786033,True,5,4
0.5,0.1,2.9758195877075195,False,5,2
0.5,0.1,3.11685937756915,True,4,5
0.5,0.1,3.1542863845825195,True,2,5
0.5,0.1,3.207433858824745,True,2,6
0.5,0.1,3.438509843905,False,4,2
0.5,0.1,3.439508094380958,True,2,5
0.5,0.1,3.5014086397554784,True,3,5
0.5,0.1,3.584390759348758,True,5,1
0.5,0.1,3.618495161472362,True,4,6
0.5,0.1,3.760753764008992,True,4,7
0.5,0.1,3.8162809812383296,False,5,3
0.5,0.1,3.83364753749802,True,4,6
0.5,0.1,4.219173702271704,True,6,5
0.5,0.1,4.30285048583,True,2,4
0.5,0.1,4.506291151046753,True,2,6
0.5,0.1,4.859213231064091,True,6,7
0.5,0.1,5.237483578949988,True,4,2
0.5,0.1,5.358094803805,True,3,5
0.5,0.1,5.684041268073608,True,6,4
0.5,0.1,5.894413142083999,True,6,2
0.5,0.1,5.899711341474337,False,2,7
0.5,0.1,6.021193504333496,True,3,6
0.5,0.1,6.035314869058812,True,2,4
0.5,0.1,6.243587732315063,True,4,1
0.5,0.1,6.246757507324219,False,3,7
0.5,0.1,6.2798688711065465,True,5,4
0.5,0.1,6.457022640098698,True,3,6
0.5,0.1,6.663054943084717,False,4,1
0.5,0.1,6.66407322883606,True,2,6
0.5,0.1,6.7535035610198975,True,2,5
0.5,0.1,7.42398748923739,True,4,6
0.5,0.1,7.602438548898464,True,2,5
0.5,0.1,7.938398774197085,True,5,4
0.5,0.1,9.02384093275073,True,3,7
0.5,0.1,9.2403808340134,True,3,1
0.5,0.1,11.03438247222454,False,5,6
0.5,0.1,12.329754380385683,True,3,6
0.5,0.1,12.979782668889095,False,6,7
